stage,config,models,year,games,accuracy,log_loss,brier,auc,avg_confidence
screen_xgboost,short_7g_3sp_7bp__sp_only,xgboost,2025,2430,0.5522633744855967,0.6803723287491223,0.2439522553904413,0.5723286126944764,0.5660407073673153
screen_xgboost,short_7g_3sp_7bp__sp_only,xgboost,2026,680,0.5602941176470588,0.6842270254170663,0.245647291469944,0.5504133025759324,0.55703467460824
screen_xgboost,short_7g_3sp_7bp__bullpen_only,xgboost,2024,2485,0.5509054325955735,0.6830291970133938,0.24532204621156672,0.5770050530216914,0.5759398161445505
screen_xgboost,short_7g_3sp_7bp__bullpen_only,xgboost,2025,2430,0.5526748971193416,0.6808744504843146,0.24418061529304652,0.5718502479512545,0.5675005677765534
screen_xgboost,short_7g_3sp_7bp__bullpen_only,xgboost,2026,680,0.5529411764705883,0.684644735924115,0.24584098899473508,0.5527113697528923,0.5575924867216279
screen_xgboost,short_7g_3sp_7bp__offense_sp,xgboost,2024,2485,0.5545271629778672,0.6815807906880781,0.24463365777803633,0.5802189902261532,0.5748654787089503
screen_xgboost,short_7g_3sp_7bp__offense_sp,xgboost,2025,2430,0.5555555555555556,0.6800935911044126,0.24384100787154991,0.5726602607190211,0.5658964535510181
screen_xgboost,short_7g_3sp_7bp__offense_sp,xgboost,2026,680,0.5617647058823529,0.6852455965743266,0.2461429533761409,0.548272517563175,0.556717148291714
screen_xgboost,short_7g_3sp_7bp__offense_bullpen,xgboost,2024,2485,0.5488933601609658,0.6827749021370313,0.2451963626269504,0.577911456630177,0.5755094155819124
screen_xgboost,short_7g_3sp_7bp__offense_bullpen,xgboost,2025,2430,0.5534979423868313,0.680741118312359,0.2441261658122695,0.5723712629033941,0.5674786357109439
screen_xgboost,short_7g_3sp_7bp__offense_bullpen,xgboost,2026,680,0.5544117647058824,0.6851222959021899,0.24605110556346918,0.550006990318409,0.5574887263132077
screen_xgboost,short_7g_3sp_7bp__sp_bullpen,xgboost,2024,2485,0.5521126760563381,0.6827604253109917,0.24516019616218007,0.5780032648696907,0.5748041214517585
screen_xgboost,short_7g_3sp_7bp__sp_bullpen,xgboost,2025,2430,0.5526748971193416,0.680092923594744,0.24383203122726071,0.5742417304656925,0.5658846740880457
screen_xgboost,short_7g_3sp_7bp__sp_bullpen,xgboost,2026,680,0.5470588235294118,0.6846395638968447,0.24583851387864292,0.5488055293418614,0.5571009241336701
screen_xgboost,short_7g_3sp_7bp__all_re24,xgboost,2024,2485,0.5525150905432595,0.6820217164645443,0.24483139496634548,0.5793771443549937,0.5755566061582443
screen_xgboost,short_7g_3sp_7bp__all_re24,xgboost,2025,2430,0.5526748971193416,0.6799735511926553,0.2437678278117534,0.5740281382194322,0.5658271332673821
screen_xgboost,short_7g_3sp_7bp__all_re24,xgboost,2026,680,0.55,0.68506104273503,0.2460398105273427,0.5497230086330432,0.5566343795727281
screen_xgboost,medium_15g_5sp_7bp__no_re24,xgboost,2024,2485,0.5529175050301811,0.6824700556015217,0.24505567980473986,0.5777680670829506,0.5757118137259758
screen_xgboost,medium_15g_5sp_7bp__no_re24,xgboost,2025,2430,0.5539094650205761,0.6806225639571464,0.24407117539180814,0.5718031621206092,0.5676537098401367
screen_xgboost,medium_15g_5sp_7bp__no_re24,xgboost,2026,680,0.5573529411764706,0.6844402705146893,0.2457159781213281,0.5531744783474887,0.5576214473329338
screen_xgboost,medium_15g_5sp_7bp__offense_only,xgboost,2024,2485,0.5525150905432595,0.682190655216836,0.2449200728962029,0.579112100780143,0.5748331645864677
screen_xgboost,medium_15g_5sp_7bp__offense_only,xgboost,2025,2430,0.551440329218107,0.6809035438332159,0.24418433904580963,0.5718359174810582,0.5675660691450162
screen_xgboost,medium_15g_5sp_7bp__offense_only,xgboost,2026,680,0.5573529411764706,0.6851380215153875,0.24604740130527544,0.5509856348956695,0.5574515811660711
screen_xgboost,medium_15g_5sp_7bp__sp_only,xgboost,2024,2485,0.5565392354124749,0.6822992166710213,0.24496154655042685,0.5797232906149271,0.5764953301536164
screen_xgboost,medium_15g_5sp_7bp__sp_only,xgboost,2025,2430,0.5469135802469136,0.6811179900450722,0.24433892939605198,0.569934741768339,0.5692728276769483
screen_xgboost,medium_15g_5sp_7bp__sp_only,xgboost,2026,680,0.55,0.6840205089400836,0.24554568603319132,0.5548128342245988,0.5562875190348018
screen_xgboost,medium_15g_5sp_7bp__bullpen_only,xgboost,2024,2485,0.5509054325955735,0.6830291970133938,0.24532204621156672,0.5770050530216914,0.5759398161445505
screen_xgboost,medium_15g_5sp_7bp__bullpen_only,xgboost,2025,2430,0.5526748971193416,0.6808744504843146,0.24418061529304652,0.5718502479512545,0.5675005677765534
screen_xgboost,medium_15g_5sp_7bp__bullpen_only,xgboost,2026,680,0.5529411764705883,0.684644735924115,0.24584098899473508,0.5527113697528923,0.5575924867216279
screen_xgboost,medium_15g_5sp_7bp__offense_sp,xgboost,2024,2485,0.5525150905432595,0.6818767035350353,0.24474662739589484,0.5805242607328049,0.5752598449547847
screen_xgboost,medium_15g_5sp_7bp__offense_sp,xgboost,2025,2430,0.5510288065843622,0.6815585005128122,0.24453858850852564,0.5690076968273021,0.5687584945285599
screen_xgboost,medium_15g_5sp_7bp__offense_sp,xgboost,2026,680,0.5514705882352942,0.6849428920885663,0.2459781454864435,0.5514924329803222,0.5559791138943504
screen_xgboost,medium_15g_5sp_7bp__offense_bullpen,xgboost,2024,2485,0.5521126760563381,0.6824387838679464,0.24505193992025695,0.5781846104735359,0.5755444585627393
screen_xgboost,medium_15g_5sp_7bp__offense_bullpen,xgboost,2025,2430,0.5522633744855967,0.680982806496466,0.24421314475817157,0.5722173809496188,0.5677128963121334
screen_xgboost,medium_15g_5sp_7bp__offense_bullpen,xgboost,2026,680,0.55,0.6843201558199207,0.24565118250154824,0.5534977805739052,0.5573311901267837
screen_xgboost,medium_15g_5sp_7bp__sp_bullpen,xgboost,2024,2485,0.5525150905432595,0.6815545663649846,0.2446016369439646,0.5807857357895119,0.5756353064811844
screen_xgboost,medium_15g_5sp_7bp__sp_bullpen,xgboost,2025,2430,0.5489711934156378,0.6812438056366549,0.2443924588727658,0.5705871193639453,0.5691485903349761
screen_xgboost,medium_15g_5sp_7bp__sp_bullpen,xgboost,2026,680,0.5544117647058824,0.685473059677505,0.24625012177337613,0.5489890252000978,0.5566409956298622
screen_xgboost,medium_15g_5sp_7bp__all_re24,xgboost,2024,2485,0.5597585513078471,0.6813252799742822,0.24448394300731882,0.5822176847973342,0.5751956220393929
