date,team,il_count
2017-09-01,CLE,19
2017-10-01,CLE,5
2018-04-01,CLE,6
2018-05-01,CLE,29
2018-06-01,CLE,33
2018-07-01,CLE,35
2018-08-01,CLE,39
2018-09-01,CLE,45
2018-10-01,CLE,10
2019-04-01,CLE,10
2019-05-01,CLE,22
2019-06-01,CLE,30
2019-07-01,CLE,42
2019-08-01,CLE,44
2019-09-01,CLE,48
2019-10-01,CLE,9
2020-04-01,CLE,1
2020-05-01,CLE,1
2020-06-01,CLE,1
2020-07-01,CLE,1
2020-08-01,CLE,2
2020-09-01,CLE,0
2020-10-01,CLE,1
2021-04-01,CLE,2
2021-05-01,CLE,2
2021-06-01,CLE,25
2021-07-01,CLE,27
2021-08-01,CLE,30
2021-09-01,CLE,30
2021-10-01,CLE,20
2022-04-01,CLE,2
2022-05-01,CLE,24
2022-06-01,CLE,26
2022-07-01,CLE,26
2022-08-01,CLE,23
2022-09-01,CLE,27
2022-10-01,CLE,21
2023-04-01,CLE,10
2023-05-01,CLE,34
2023-06-01,CLE,33
2023-07-01,CLE,27
2023-08-01,CLE,34
2023-09-01,CLE,30
2023-10-01,CLE,23
2024-04-01,CLE,18
2024-05-01,CLE,26
2024-06-01,CLE,24
2024-07-01,CLE,25
2024-08-01,CLE,25
2024-09-01,CLE,23
2024-10-01,CLE,15
2025-04-01,CLE,22
2025-05-01,CLE,32
2025-06-01,CLE,32
2025-07-01,CLE,31
2025-08-01,CLE,32
2025-09-01,CLE,36
2025-10-01,CLE,12
2026-04-01,CLE,18
2015-04-01,COL,4
2015-05-01,COL,8
2015-06-01,COL,18
2015-07-01,COL,27
2015-08-01,COL,26
2015-09-01,COL,20
2015-10-01,COL,9
2016-04-01,COL,7
2016-05-01,COL,11
2016-06-01,COL,13
2016-07-01,COL,20
2016-08-01,COL,15
2016-09-01,COL,13
2016-10-01,COL,5
2017-04-01,COL,7
2017-05-01,COL,15
2017-06-01,COL,20
2017-07-01,COL,25
2017-08-01,COL,28
2017-09-01,COL,22
2017-10-01,COL,1
2018-04-01,COL,6
2018-05-01,COL,10
