date,year,home_team,away_team,home_score,away_score,home_win,home_ml,away_ml
2026-03-21,2026,BAL,PHI,10,8,1,-141.0,117.0
2026-03-21,2026,BOS,ATL,1,6,0,-134.0,112.0
2026-03-21,2026,CIN,CHW,11,7,1,-134.0,112.0
2026-03-21,2026,DET,NYY,3,1,1,-143.0,118.0
2026-03-21,2026,KCR,COL,6,5,1,-160.0,132.0
2026-03-21,2026,LAD,ATH,5,5,0,-152.0,126.0
2026-03-21,2026,MIL,SDP,6,1,1,-144.0,70.0
2026-03-21,2026,NYM,HOU,5,7,0,,
2026-03-21,2026,PIT,TOR,8,3,1,-127.0,55.0
2026-03-21,2026,SEA,CHC,1,7,0,-158.0,82.0
2026-03-21,2026,SFG,CLE,10,7,1,-155.0,78.0
2026-03-21,2026,STL,MIA,7,4,1,50.0,-121.0
2026-03-21,2026,TBR,MIN,3,2,1,108.0,-131.0
2026-03-21,2026,WSN,NYM,3,1,1,,
2026-03-22,2026,BAL,WSN,8,1,1,-164.0,137.0
2026-03-22,2026,CHW,SEA,2,4,0,6.0,-128.0
2026-03-22,2026,CLE,CIN,8,2,1,-129.0,108.0
2026-03-22,2026,COL,ATH,6,5,1,110.0,-131.0
2026-03-22,2026,HOU,STL,2,3,0,-140.0,118.0
2026-03-22,2026,LAA,LAD,5,13,0,155.0,-189.0
2026-03-22,2026,MIA,NYM,4,3,1,76.0,-153.0
2026-03-22,2026,MIN,ATL,7,3,1,-129.0,109.0
2026-03-22,2026,NYY,PHI,6,2,1,-132.0,112.0
2026-03-22,2026,PIT,BOS,3,6,0,-114.0,-106.0
2026-03-22,2026,SDP,ARI,1,11,0,-161.0,134.0
2026-03-22,2026,TOR,TBR,14,1,1,-175.0,144.0
2026-03-23,2026,BOS,MIN,6,9,0,-159.0,132.0
2026-03-23,2026,CHC,NYY,15,6,1,-116.0,-54.0
2026-03-23,2026,COL,DET,6,5,1,123.0,-146.0
2026-03-23,2026,LAD,LAA,7,7,0,-162.0,136.0
2026-03-23,2026,MIL,CIN,9,1,1,-130.0,58.0
2026-03-23,2026,ATH,CHW,10,9,1,-130.0,108.0
2026-03-23,2026,PIT,ATL,2,5,0,120.0,-144.0
2026-03-23,2026,SDP,SEA,10,3,1,60.0,-132.0
2026-03-23,2026,TEX,KCR,3,2,1,-129.0,108.0
2026-03-24,2026,ARI,CLE,5,10,0,-127.0,56.0
2026-03-24,2026,ATL,TBR,3,2,1,-172.0,144.0
2026-03-24,2026,CHC,NYY,3,8,0,-120.0,48.0
2026-03-24,2026,COL,DET,8,11,0,134.0,-160.0
2026-03-24,2026,MIL,CIN,4,1,1,-118.0,-52.0
2026-03-24,2026,MIN,BOS,15,6,1,127.0,-153.0
2026-03-24,2026,TEX,KCR,4,1,1,-139.0,117.0
2026-03-26,2026,BAL,MIN,2,1,1,-149.0,126.0
2026-03-26,2026,CHC,WSN,4,10,0,-210.0,174.0
2026-03-26,2026,LAD,ARI,8,2,1,-261.0,213.0
2026-03-26,2026,MIL,CHW,14,2,1,-196.0,162.0
2026-03-26,2026,NYM,PIT,11,7,1,-124.0,56.0
2026-03-26,2026,PHI,TEX,5,3,1,-156.0,132.0
2026-03-26,2026,SDP,DET,2,8,0,110.0,-130.0
2026-03-26,2026,SEA,CLE,4,6,0,-180.0,151.0
2026-03-26,2026,STL,TBR,9,7,1,60.0,-130.0
2026-03-27,2026,HOU,LAA,2,6,0,-167.0,140.0
2026-03-27,2026,LAD,ARI,5,4,1,-231.0,190.0
2026-03-27,2026,MIA,COL,2,1,1,-189.0,158.0
2026-03-27,2026,SDP,DET,2,5,0,-132.0,58.0
2026-03-27,2026,SEA,CLE,5,1,1,-173.0,145.0
2026-03-27,2026,TOR,ATH,3,2,1,-185.0,153.0
2026-03-28,2026,ATL,KCR,6,2,1,-140.0,117.0
2026-03-28,2026,BAL,MIN,1,4,0,-156.0,132.0
2026-03-28,2026,CHC,WSN,10,2,1,-232.0,190.0
2026-03-28,2026,CIN,BOS,6,5,1,120.0,-144.0
2026-03-28,2026,HOU,LAA,11,9,1,-142.0,120.0
2026-03-28,2026,LAD,ARI,3,2,1,-238.0,192.0
2026-03-28,2026,MIA,COL,4,3,1,-182.0,152.0
2026-03-28,2026,MIL,CHW,6,1,1,-191.0,158.0
2026-03-28,2026,NYM,PIT,4,2,1,-167.0,142.0
2026-03-28,2026,PHI,TEX,4,5,0,-138.0,115.0
2026-03-28,2026,SEA,CLE,5,6,0,-182.0,152.0
2026-03-28,2026,SFG,NYY,1,3,0,0.0,-125.0
2026-03-28,2026,STL,TBR,6,5,1,-112.0,-106.0
2026-03-28,2026,TOR,ATH,8,7,1,-180.0,150.0
2026-03-29,2026,ATL,KCR,1,4,0,-151.0,126.0
2026-03-29,2026,BAL,MIN,8,6,1,-157.0,133.0
2026-03-29,2026,CHC,WSN,3,6,0,-248.0,202.0
2026-03-29,2026,CIN,BOS,3,2,1,115.0,-136.0
2026-03-29,2026,HOU,LAA,9,7,1,-170.0,144.0
2026-03-29,2026,MIA,COL,4,3,1,-181.0,151.0
2026-03-29,2026,MIL,CHW,9,7,1,-168.0,141.0
2026-03-29,2026,NYM,PIT,3,4,0,-179.0,149.0
2026-03-29,2026,PHI,TEX,3,8,0,-154.0,130.0
2026-03-29,2026,STL,TBR,7,11,0,-5.0,-115.0
2026-03-29,2026,TOR,ATH,5,2,1,-157.0,132.0
2026-03-30,2026,ARI,DET,9,6,1,-122.0,53.0
