feature,best_bucket,best_roi,best_bets,worst_bucket,worst_roi,worst_bets,roi_spread,high_minus_low_roi
home_sp_outs_last,high,0.29668757565753273,84,low,-0.11682569234349546,138,0.41351326800102817,0.41351326800102817
away_sp_outs_last,high,0.29668757565753273,84,low,-0.11682569234349546,138,0.41351326800102817,0.41351326800102817
away_il_war,low,0.2687481360831363,187,high,-0.1332549375952107,109,0.402003073678347,-0.402003073678347
home_il_war,low,0.2687481360831363,187,high,-0.1332549375952107,109,0.402003073678347,-0.402003073678347
home_sp_k_pct,high,0.2314882967760931,108,mid,-0.16305142578601026,55,0.39453972256210335,0.1269615096116577
away_sp_k_pct,high,0.2314882967760931,108,mid,-0.16305142578601026,55,0.39453972256210335,0.1269615096116577
bullpen_usage_diff,low,0.24260960378524687,202,high,-0.12391668797772282,101,0.3665262917629697,-0.3665262917629697
batting_ops_vs_sp_diff,low,0.2316401012959929,118,high,-0.1270607157217531,91,0.35870081701774603,-0.35870081701774603
sp_era_adj_diff,high,0.3372000635626887,107,mid,-0.01114578689255463,41,0.34834585045524336,0.33853701612112974
lineup_ops_vs_sp_diff,mid,0.22663148826189966,86,high,-0.11593417562672899,93,0.34256566388862864,-0.30013915560444854
bullpen_inseason_era_diff,mid,0.2884842685878313,167,low,-0.0457693465823547,109,0.33425361517018604,0.06282432721483433
home_batting_ops_vs_sp,low,0.29753939934582213,114,mid,-0.025217021489505415,152,0.3227564208353275,-0.27859255924376847
away_batting_ops_vs_sp,low,0.29753939934582213,114,mid,-0.025217021489505415,152,0.3227564208353275,-0.27859255924376847
away_platoon_advantage,low,0.2697859992745738,110,high,-0.043310016371483864,61,0.31309601564605766,-0.31309601564605766
home_platoon_advantage,low,0.2697859992745738,110,high,-0.043310016371483864,61,0.31309601564605766,-0.31309601564605766
home_momentum,mid,0.2213533719865731,216,low,-0.08734754877104962,110,0.30870092075762273,
away_momentum,mid,0.2213533719865731,216,low,-0.08734754877104962,110,0.30870092075762273,
away_barrel_pct,low,0.21220547042346352,209,high,-0.0927286613468173,106,0.30493413177028084,-0.30493413177028084
home_barrel_pct,low,0.21220547042346352,209,high,-0.0927286613468173,106,0.30493413177028084,-0.30493413177028084
sp_outs_last_diff,high,0.27175455835789936,84,low,-0.024551368042724425,114,0.2963059264006238,0.2963059264006238
sp_xfip_diff,mid,0.20806404230317274,110,low,-0.08259289711694032,110,0.29065693942011306,0.2720633237928909
sp_swstr_diff,high,0.24362085159674382,110,mid,-0.04524198546396982,103,0.28886283706071364,0.14841638562956594
sp_days_rest_diff,low,0.2342497978387122,111,mid,-0.04492283138976042,192,0.27917262922847264,-0.002466734666465603
park_altitude_ft,mid,0.23685039370078742,30,high,-0.041819118085481236,106,0.27866951178626864,-0.19367647991038434
away_lineup_ops_vs_sp,mid,0.2108690770267236,83,high,-0.06675365344467638,106,0.27762273047139996,-0.2605317425125571
home_lineup_ops_vs_sp,mid,0.2108690770267236,83,high,-0.06675365344467638,106,0.27762273047139996,-0.2605317425125571
streak_diff,mid,0.20968033230991515,203,low,-0.06721718400550517,125,0.2768975163154203,
temp_f,mid,0.2000636638548464,19,high,-0.06188092729188625,110,0.26194459114673263,-0.24541013684004598
sp_k_pct_diff,high,0.23849967334076322,110,low,-0.006413585375986728,110,0.24491325871674996,0.24491325871674996
away_sp_xfip,mid,0.22077922077922085,109,high,-0.02261244098401392,110,0.24339166176323476,-0.10265862863999042
home_sp_xfip,mid,0.22077922077922085,109,high,-0.02261244098401392,110,0.24339166176323476,-0.10265862863999042
home_sp_swstr,high,0.1615631053494264,110,mid,-0.07628042135851797,87,0.23784352670794434,0.0004472076697567551
away_sp_swstr,high,0.1615631053494264,110,mid,-0.07628042135851797,87,0.23784352670794434,0.0004472076697567551
season_win_pct_delta_diff,mid,0.12488591024069678,168,high,-0.07582709490461244,41,0.2007130051453092,-0.17150003674220726
home_season_win_pct_delta,low,0.10939300549376926,105,high,-0.08386721025043684,17,0.1932602157442061,-0.1932602157442061
away_season_win_pct_delta,low,0.10939300549376926,105,high,-0.08386721025043684,17,0.1932602157442061,-0.1932602157442061
away_sp_era_adj,low,0.21062409949192387,109,mid,0.03193509876275233,133,0.17868900072917154,-0.15696083646740272
home_sp_era_adj,low,0.21062409949192387,109,mid,0.03193509876275233,133,0.17868900072917154,-0.15696083646740272
platoon_advantage_diff,high,0.1420571650787478,110,mid,-0.034253678138570234,86,0.17631084321731805,0.00018126995116474198
home_sp_fbv,low,0.18333447262287245,119,high,0.009303590859630022,108,0.1740308817632424,-0.1740308817632424
away_sp_fbv,low,0.18333447262287245,119,high,0.009303590859630022,108,0.1740308817632424,-0.1740308817632424
sp_fbv_diff,low,0.13987553126897387,142,high,0.02614590058102001,53,0.11372963068795386,-0.11372963068795386
away_last7_rd,mid,0.1304528223601079,213,low,0.03614718614718615,114,0.09430563621292176,
home_last7_rd,mid,0.1304528223601079,213,low,0.03614718614718615,114,0.09430563621292176,
sp_pa_diff,low,0.16168867520663885,121,mid,0.09754859514496432,129,0.06414008006167453,
away_sp_inseason_era,mid,0.09203787055719384,106,high,0.04639752087458037,73,0.04564034968261347,-0.015570855684413527
home_sp_inseason_era,mid,0.09203787055719384,106,high,0.04639752087458037,73,0.04564034968261347,-0.015570855684413527
