game_date,home_team,away_team,game_number,game_id,home_offense_re24_15g,away_offense_re24_15g,home_sp_re24_last3,away_sp_re24_last3,home_bullpen_re24_15d,away_bullpen_re24_15d,offense_re24_diff,sp_re24_diff,bullpen_re24_diff
2015-04-12,ATL,NYM,1,ATL201504120,0.7893956495642371,-0.9888696226812321,,,2.0292864044000973,0.6547484912599957,1.7782652722454693,,1.3745379131401017
2015-04-12,BAL,TOR,1,BAL201504120,0.5292699420381829,1.4042469618836282,,,-0.823246200301187,-0.5506699889353681,-0.8749770198454453,,-0.2725762113658189
2015-04-12,CHW,MIN,1,CHA201504120,-1.6453332118666997,-1.488988848474591,,,-0.9270645813694264,-0.0684043039856633,-0.15634436339210867,,-0.858660277383763
2015-04-12,CIN,STL,1,CIN201504120,-0.7506915630948959,,,,0.38855369964383535,0.6607265439071047,,,-0.2721728442632694
2015-04-12,CLE,DET,1,CLE201504120,-0.588869622681232,3.0770550188308503,,,-0.8202384539580377,0.36838024960096855,-3.665924641512082,,-1.1886187035590063
2015-04-12,COL,CHC,1,COL201504120,1.5023224642995057,,,,1.0481422541860812,0.4336332749085319,,,0.6145089792775493
2015-04-12,LAA,KCR,1,ANA201504120,-1.3706789061893017,2.0701716033957105,,,0.9532584136825761,1.1890173957557555,-3.440850509585012,,-0.23575898207317936
2015-04-12,MIA,TBR,1,MIA201504120,-1.1507772024065233,0.11715568272082724,,,-0.9904649094342106,-0.7835054970993489,-1.2679328851273506,,-0.2069594123348617
2015-04-12,MIL,PIT,1,MIL201504120,-1.5706789061893018,-1.5661527170226202,,,0.15913086752103694,0.17277227666230544,-0.004526189166681682,,-0.01364140914126849
2015-04-12,NYY,BOS,1,NYA201504120,-1.1684528307255484,0.34076880645831686,,,0.43579204622610596,0.8317284209847816,-1.5092216371838654,,-0.39593637475867566
2015-04-12,PHI,WSN,1,PHI201504120,-1.1233009368560165,-2.2412732110546325,,,0.48797753410081474,0.11995751384571443,1.117972274198616,,0.3680200202551003
2015-04-12,SDP,SFG,1,SDN201504120,-0.03215078936355346,-1.331394437571435,,,0.5936227101079771,0.2696474875615795,1.2992436482078815,,0.32397522254639755
2015-04-12,TEX,HOU,1,TEX201504120,-1.4293421155288613,-1.882037359018608,,,0.12030285831369665,0.864579688162171,0.45269524348974666,,-0.7442768298484743
2015-04-13,ATL,MIA,1,ATL201504130,0.4930181041899922,-0.7933273622169495,,,1.8693947049111614,-1.196582267292862,1.2863454664069418,,3.0659769722040235
2015-04-13,BAL,NYY,1,BAL201504130,0.6067119248203056,0.6020123265907493,,,-0.861303077447024,0.6586318624240685,0.004699598229556234,,-1.5199349398710924
2015-04-13,BOS,WSN,1,BOS201504130,0.285829068268392,-1.9397405689679774,,,0.3969370249675435,0.06210308544040883,2.2255696372363696,,0.3348339395271347
2015-04-13,CHC,CIN,1,CHN201504130,-0.5071114909456778,-0.6047904849771086,,,0.878415164499326,0.4422734215172575,0.09767899403143088,,0.4361417429820685
2015-04-13,HOU,ATH,1,HOU201504130,-1.769182516173604,1.639001039289799,,,0.904225431964191,0.45074446204788804,-3.4081835554634026,,0.453480969916303
