team,barrel_pct,hard_hit_pct,avg_exit_velo,year
MIL,0.0762157744176542,0.3769922353902738,87.69166666666666,2018
MIN,0.0629496402877697,0.3437821171634121,87.27826086956522,2018
NYM,0.0508832059056156,0.3237542842077511,85.41315789473684,2018
NYY,0.0822389666307858,0.3817007534983853,87.488,2018
OAK,0.0829210836277974,0.3926972909305065,86.39999999999999,2018
PHI,0.0698521968009718,0.3656610649929135,88.45,2018
PIT,0.0603992923932271,0.3399039676522618,87.27272727272727,2018
SDP,0.0567358160459885,0.3386653336665833,86.8029411764706,2018
SEA,0.0598381601362862,0.3551959114139693,86.62592592592593,2018
SFG,0.0525318169509883,0.3243975088004333,87.2,2018
STL,0.0767386091127098,0.3587529976019185,85.63333333333334,2018
TBR,0.0559635350721701,0.3337553811091415,87.47692307692309,2018
TEX,0.0719960278053624,0.3408639523336643,86.212,2018
TOR,0.084384858044164,0.4016824395373291,87.35172413793103,2018
WSN,0.0681114551083591,0.3568111455108359,83.78181818181818,2018
ARI,0.0694444444444444,0.3451388888888889,86.76451612903226,2019
ATL,0.0844170156491073,0.3672029975754904,86.01,2019
BAL,0.0632973503434739,0.3405299313052011,87.064,2019
BOS,0.0808491418247515,0.4126016260162601,87.52499999999999,2019
CHC,0.0777429467084639,0.3531870428422152,85.77058823529411,2019
CHW,0.0718886884823499,0.3733573821180108,87.48148148148148,2019
CIN,0.0574938574938574,0.3223587223587223,86.42,2019
CLE,0.0763888888888889,0.3784722222222222,87.84666666666666,2019
COL,0.063815342837746,0.3566417741570491,86.78484848484848,2019
DET,0.0627535839870165,0.3635380037868542,88.13076923076923,2019
HOU,0.0688311688311688,0.3564935064935065,86.448,2019
KCR,0.066754617414248,0.3448548812664908,85.85172413793103,2019
LAA,0.0699126092384519,0.3420724094881398,87.0551724137931,2019
LAD,0.0808753568030447,0.3803520456707897,86.87272727272727,2019
MIA,0.0594660194174757,0.3529126213592233,86.09714285714286,2019
MIL,0.0826362484157161,0.3939163498098859,86.359375,2019
MIN,0.1002697841726618,0.395908273381295,88.27142857142857,2019
NYM,0.0709925390006782,0.3753108749717386,85.70294117647059,2019
NYY,0.0984636871508379,0.4085195530726257,89.09615384615384,2019
OAK,0.0822598870056497,0.3825988700564972,87.56785714285715,2019
PHI,0.0734273561674501,0.3633310946944258,86.60833333333333,2019
PIT,0.0535101760804939,0.3400411616739081,87.03076923076922,2019
SDP,0.0679393599101628,0.3641212801796743,85.99333333333334,2019
