date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,edge_threshold,policy_reason,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob,season_phase
2025-07-08,LAD @ MIL,3.0,1.0,,0.0,-113.2,0.5125,0.5067,0.0057,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,92.74,MIL,LAD,away,True,Clayton Kershaw,Jacob Misiorowski,L,R,,,mid
2025-07-08,CLE @ HOU,6.0,10.0,,0.0,-211.7,0.6715,0.6498,0.0217,<-180,,<-180 excluded by static_underdog_130_170,,0.0,92.74,HOU,CLE,home,True,Hunter Brown,Joey Cantillo,R,L,,,mid
2025-07-08,TOR @ CHW,1.0,6.0,,0.0,161.7,0.3738,0.3656,0.0082,+130:+170,0.06,edge <= 6% threshold,,0.0,92.74,CHW,TOR,home,False,Aaron Civale,Chris Bassitt,R,R,,,mid
2025-07-08,SEA @ NYY,10.0,3.0,,0.0,-131.5,0.5506,0.543,0.0076,-140:-115,,-140:-115 excluded by static_underdog_130_170,,0.0,92.74,NYY,SEA,home,True,Will Warren,Logan Gilbert,R,R,,,mid
2025-07-08,COL @ BOS,10.0,2.0,,0.0,225.8,0.2944,0.2933,0.0011,+170+,,+170+ excluded by static_underdog_130_170,,0.0,92.74,BOS,COL,away,False,Kyle Freeland,Brayan Bello,L,R,,,mid
2025-07-08,PIT @ KCR,4.0,3.0,,0.0,-138.7,0.5596,0.5551,0.0046,-140:-115,,-140:-115 excluded by static_underdog_130_170,,0.0,92.74,KCR,PIT,home,True,Seth Lugo,Mitch Keller,R,R,,,mid
2025-07-08,PHI @ SFG,4.0,3.0,,0.0,131.3,0.4354,0.4114,0.024,+130:+170,0.06,edge <= 6% threshold,,0.0,92.74,SFG,PHI,away,False,Taijuan Walker,Robbie Ray,R,L,,,mid
2025-07-08,TBR @ DET,4.0,2.0,,0.0,,,,,,,missing odds,,0.0,92.74,DET,TBR,,,,,,,,,
2025-07-09,LAD @ MIL,3.0,2.0,,0.0,129.2,0.438,0.4179,0.0202,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,92.74,MIL,LAD,home,False,Jose Quintana,Tyler Glasnow,L,R,,,mid
2025-07-09,PIT @ KCR,4.0,3.0,,0.0,-195.3,0.6325,0.6309,0.0016,<-180,,<-180 excluded by static_underdog_130_170,,0.0,92.74,KCR,PIT,home,True,Kris Bubic,Bailey Falter,L,L,,,mid
