Date,year,home_team,away_team,home_win,home_runs,away_runs
2026-04-15,2026,CHW,TBR,0,3,8
2026-04-15,2026,CIN,SFG,1,8,3
2026-04-15,2026,DET,KCR,1,2,1
2026-04-15,2026,HOU,COL,1,3,1
2026-04-15,2026,LAD,NYM,1,8,2
2026-04-15,2026,MIL,TOR,1,2,1
2026-04-15,2026,MIN,BOS,0,5,9
2026-04-15,2026,NYY,LAA,1,5,4
2026-04-15,2026,OAK,TEX,1,6,5
2026-04-15,2026,PHI,CHC,0,2,11
2026-04-15,2026,PIT,WSN,1,2,0
2026-04-15,2026,SDP,SEA,1,7,6
2026-04-15,2026,STL,CLE,1,5,3
2026-04-16,2026,CHW,TBR,0,3,5
2026-04-16,2026,CIN,SFG,0,0,3
2026-04-16,2026,CLE,BAL,1,4,2
2026-04-16,2026,DET,KCR,1,10,9
2026-04-16,2026,HOU,COL,0,2,3
2026-04-16,2026,MIL,TOR,1,2,1
2026-04-16,2026,NYY,LAA,0,4,11
2026-04-16,2026,OAK,TEX,0,6,9
2026-04-16,2026,PIT,WSN,0,7,8
2026-04-16,2026,SDP,SEA,1,5,2
2026-04-17,2026,ARI,TOR,1,6,3
2026-04-17,2026,BOS,DET,1,1,0
2026-04-17,2026,CHC,NYM,1,12,4
2026-04-17,2026,CLE,BAL,0,4,6
2026-04-17,2026,COL,LAD,0,1,7
2026-04-17,2026,HOU,STL,0,4,9
2026-04-17,2026,LAA,SDP,1,8,0
2026-04-17,2026,MIA,MIL,0,5,7
2026-04-17,2026,MIN,CIN,0,1,2
2026-04-17,2026,NYY,KCR,1,4,2
2026-04-17,2026,OAK,CHW,0,2,9
2026-04-17,2026,PHI,ATL,0,0,9
2026-04-17,2026,PIT,TBR,1,5,1
2026-04-17,2026,SEA,TEX,0,0,5
2026-04-17,2026,WSN,SFG,0,5,10
2026-04-18,2026,ARI,TOR,1,6,2
2026-04-18,2026,BOS,DET,0,1,4
2026-04-18,2026,CHC,NYM,1,4,2
2026-04-18,2026,CLE,BAL,1,4,2
2026-04-18,2026,COL,LAD,1,4,3
