Date,home_team,away_team,game_number,year,home_sp_id,home_sp_name,away_sp_id,away_sp_name,game_pk,game_id
2026-03-23,LAD,LAA,1,2026,mlb_808963,Roki Sasaki,mlb_672282,Reid Detmers,,20260323_LAD_LAA_1
2026-03-23,MIL,CIN,1,2026,mlb_676879,Aaron Ashby,mlb_663903,Brady Singer,,20260323_MIL_CIN_1
2026-03-23,PHI,TBR,1,2026,mlb_666200,Jesús Luzardo,mlb_571927,Steven Matz,,20260323_PHI_TBR_1
2026-03-23,PIT,ATL,1,2026,mlb_608334,Carson Fulmer,mlb_800311,Didier Fuentes,,20260323_PIT_ATL_1
2026-03-23,SDP,SEA,1,2026,mlb_606996,Kyle Hart,mlb_622491,Luis Castillo,,20260323_SDP_SEA_1
2026-03-23,SFG,UNK562,1,2026,mlb_702352,Spencer Bivens,mlb_605501,Stephen Tarpley,,20260323_SFG_UNK562_1
2026-03-23,TEX,KCR,1,2026,mlb_669022,MacKenzie Gore,mlb_608379,Michael Wacha,,20260323_TEX_KCR_1
2026-03-23,UNK440,STL,1,2026,mlb_802408,Brycen Mautz,mlb_669160,Dustin May,,20260323_UNK440_STL_1
2026-03-23,WSN,BAL,1,2026,mlb_676571,PJ Poulin,mlb_669358,Shane Baz,,20260323_WSN_BAL_1
2026-03-24,ARI,CLE,1,2026,mlb_647336,Michael Soroka,mlb_800048,Parker Messick,,20260324_ARI_CLE_1
2026-03-24,ATL,TBR,1,2026,mlb_656550,Grant Holmes,mlb_592155,Cam Booser,,20260324_ATL_TBR_1
2026-03-24,CHC,NYY,1,2026,mlb_665795,Edward Cabrera,mlb_543037,Gerrit Cole,,20260324_CHC_NYY_1
2026-03-24,COL,DET,1,2026,mlb_608372,Tomoyuki Sugano,mlb_434378,Justin Verlander,,20260324_COL_DET_1
2026-03-24,HOU,UNK5434,1,2026,mlb_621121,Lance McCullers Jr.,mlb_699044,Miguel Ullola,,20260324_HOU_UNK5434_1
2026-03-24,LAD,LAA,1,2026,mlb_660271,Shohei Ohtani,mlb_686799,Jack Kochanowicz,,20260324_LAD_LAA_1
2026-03-24,MIL,CIN,1,2026,mlb_687075,Brandon Sproat,mlb_695505,Chase Burns,,20260324_MIL_CIN_1
2026-03-24,MIN,BOS,1,2026,mlb_687849,Zak Kent,mlb_624133,Ranger Suarez,,20260324_MIN_BOS_1
2026-03-24,SFG,UNK562,1,2026,mlb_694738,Landen Roupp,mlb_656954,Justus Sheffield,,20260324_SFG_UNK562_1
2026-03-24,TEX,KCR,1,2026,mlb_683004,Jack Leiter,mlb_607625,Seth Lugo,,20260324_TEX_KCR_1
2026-03-25,SFG,NYY,1,2026,mlb_657277,Logan Webb,mlb_608331,Max Fried,,20260325_SFG_NYY_1
2026-03-26,BAL,MIN,1,2026,mlb_669432,Trevor Rogers,mlb_657746,Joe Ryan,,20260326_BAL_MIN_1
2026-03-26,CHC,WSN,1,2026,mlb_571510,Matthew Boyd,mlb_676917,Cade Cavalli,,20260326_CHC_WSN_1
2026-03-26,CIN,BOS,1,2026,mlb_671096,Andrew Abbott,mlb_676979,Garrett Crochet,,20260326_CIN_BOS_1
2026-03-26,HOU,LAA,1,2026,mlb_686613,Hunter Brown,mlb_667755,José Soriano,,20260326_HOU_LAA_1
2026-03-26,LAD,ARI,1,2026,mlb_808967,Yoshinobu Yamamoto,mlb_668678,Zac Gallen,,20260326_LAD_ARI_1
2026-03-26,MIL,CHW,1,2026,mlb_694819,Jacob Misiorowski,mlb_681343,Shane Smith,,20260326_MIL_CHW_1
2026-03-26,NYM,PIT,1,2026,mlb_642547,Freddy Peralta,mlb_694973,Paul Skenes,,20260326_NYM_PIT_1
2026-03-26,PHI,TEX,1,2026,mlb_650911,Cristopher Sánchez,mlb_543135,Nathan Eovaldi,,20260326_PHI_TEX_1
2026-03-26,SDP,DET,1,2026,mlb_601713,Nick Pivetta,mlb_669373,Tarik Skubal,,20260326_SDP_DET_1
2026-03-26,SEA,CLE,1,2026,mlb_669302,Logan Gilbert,mlb_676440,Tanner Bibee,,20260326_SEA_CLE_1
2026-03-26,STL,TBR,1,2026,mlb_669461,Matthew Liberatore,mlb_656876,Drew Rasmussen,,20260326_STL_TBR_1
2026-03-27,ATL,KCR,1,2026,mlb_519242,Chris Sale,mlb_666142,Cole Ragans,,20260327_ATL_KCR_1
2026-03-27,HOU,LAA,1,2026,mlb_681347,Mike Burrows,mlb_579328,Yusei Kikuchi,,20260327_HOU_LAA_1
2026-03-27,LAD,ARI,1,2026,mlb_686218,Emmet Sheehan,mlb_669194,Ryne Nelson,,20260327_LAD_ARI_1
2026-03-27,MIA,COL,1,2026,mlb_645261,Sandy Alcantara,mlb_607536,Kyle Freeland,,20260327_MIA_COL_1
2026-03-27,SDP,DET,1,2026,mlb_650633,Michael King,mlb_664285,Framber Valdez,,20260327_SDP_DET_1
2026-03-27,SEA,CLE,1,2026,mlb_669923,George Kirby,mlb_668909,Gavin Williams,,20260327_SEA_CLE_1
2026-03-27,SFG,NYY,1,2026,mlb_592662,Robbie Ray,mlb_693645,Cam Schlittler,,20260327_SFG_NYY_1
2026-03-27,TOR,ATH,1,2026,mlb_592332,Kevin Gausman,mlb_622663,Luis Severino,,20260327_TOR_ATH_1
2026-03-28,ATL,KCR,1,2026,mlb_625643,Reynaldo López,mlb_608379,Michael Wacha,,20260328_ATL_KCR_1
2026-03-28,BAL,MIN,1,2026,mlb_680694,Kyle Bradish,mlb_671737,Taj Bradley,,20260328_BAL_MIN_1
2026-03-28,CHC,WSN,1,2026,mlb_690990,Cade Horton,mlb_571945,Miles Mikolas,,20260328_CHC_WSN_1
2026-03-28,CIN,BOS,1,2026,mlb_663903,Brady Singer,mlb_543243,Sonny Gray,,20260328_CIN_BOS_1
2026-03-28,HOU,LAA,1,2026,mlb_664299,Cristian Javier,mlb_672282,Reid Detmers,,20260328_HOU_LAA_1
2026-03-28,LAD,ARI,1,2026,mlb_607192,Tyler Glasnow,mlb_593958,Eduardo Rodriguez,,20260328_LAD_ARI_1
2026-03-28,MIA,COL,1,2026,mlb_691587,Eury Pérez,mlb_547179,Michael Lorenzen,,20260328_MIA_COL_1
2026-03-28,MIL,CHW,1,2026,mlb_694477,Chad Patrick,mlb_680732,Sean Burke,,20260328_MIL_CHW_1
2026-03-28,NYM,PIT,1,2026,mlb_656849,David Peterson,mlb_656605,Mitch Keller,,20260328_NYM_PIT_1
2026-03-28,PHI,TEX,1,2026,mlb_605400,Aaron Nola,mlb_656641,Jacob Latz,,20260328_PHI_TEX_1
2026-03-28,SDP,DET,1,2026,mlb_681190,Randy Vásquez,mlb_656427,Jack Flaherty,,20260328_SDP_DET_1
2026-03-28,SEA,CLE,1,2026,mlb_693433,Bryan Woo,mlb_676282,Joey Cantillo,,20260328_SEA_CLE_1
2026-03-28,SFG,NYY,1,2026,mlb_641816,Tyler Mahle,mlb_701542,Will Warren,,20260328_SFG_NYY_1
2026-03-28,STL,TBR,1,2026,mlb_700241,Michael McGreevy,mlb_671212,Joe Boyle,,20260328_STL_TBR_1
2026-03-28,TOR,ATH,1,2026,mlb_656302,Dylan Cease,mlb_605488,Jeffrey Springs,,20260328_TOR_ATH_1
2026-03-29,ATL,KCR,1,2026,mlb_656550,Grant Holmes,mlb_607625,Seth Lugo,,20260329_ATL_KCR_1
2026-03-29,BAL,MIN,1,2026,mlb_669358,Shane Baz,mlb_641927,Bailey Ober,,20260329_BAL_MIN_1
2026-03-29,CHC,WSN,1,2026,mlb_684007,Shota Imanaga,mlb_663623,Jake Irvin,,20260329_CHC_WSN_1
2026-03-29,CIN,BOS,1,2026,mlb_695076,Rhett Lowder,mlb_813349,Connelly Early,,20260329_CIN_BOS_1
2026-03-29,HOU,LAA,1,2026,mlb_837227,Tatsuya Imai,mlb_686799,Jack Kochanowicz,,20260329_HOU_LAA_1
2026-03-29,MIA,COL,1,2026,mlb_676974,Max Meyer,mlb_500779,Jose Quintana,,20260329_MIA_COL_1
2026-03-29,MIL,CHW,1,2026,mlb_687075,Brandon Sproat,mlb_641743,Anthony Kay,,20260329_MIL_CHW_1
2026-03-29,NYM,PIT,1,2026,mlb_690997,Nolan McLean,mlb_669387,Carmen Mlodzinski,,20260329_NYM_PIT_1
