team,side,games,avg_pred_prob,actual_win_rate,calibration_error,abs_calibration_error,direction,brier
CIN,home,101,0.5383690052988506,0.5544554455445545,0.016086440245703937,0.016086440245703937,underconfident,0.2509832063972191
TOR,away,99,0.4794801151812678,0.46464646464646464,-0.014833650534803178,0.014833650534803178,overconfident,0.24615577282251028
MIL,away,101,0.5208459029103271,0.5346534653465347,0.013807562436207621,0.013807562436207621,underconfident,0.24986860905880248
LAA,home,100,0.4769983420968055,0.49,0.013001657903194463,0.013001657903194463,underconfident,0.2538306540174491
KCR,home,102,0.5513489321166394,0.5392156862745098,-0.012133245842129603,0.012133245842129603,overconfident,0.240365103175642
ATL,home,101,0.5368664723811764,0.5247524752475248,-0.012113997133651577,0.012113997133651577,overconfident,0.24703012568763646
SDP,away,96,0.4991334122605621,0.4895833333333333,-0.009550078927228811,0.009550078927228811,overconfident,0.24586837603794234
MIA,home,104,0.47205981686711307,0.4807692307692308,0.008709413902117713,0.008709413902117713,underconfident,0.25316510981691204
BOS,away,103,0.477167004288979,0.4854368932038835,0.008269888914904489,0.008269888914904489,underconfident,0.251655832988662
CHW,home,98,0.4253908859831946,0.41836734693877553,-0.007023539044419047,0.007023539044419047,overconfident,0.24862557452326353
CHC,away,96,0.49339916910976167,0.5,0.0066008308902383295,0.0066008308902383295,underconfident,0.24860716039399403
TBR,away,99,0.4517092034672245,0.45454545454545453,0.0028362510782300454,0.0028362510782300454,underconfident,0.24264057226489213
ARI,home,103,0.5422791334610542,0.5436893203883495,0.0014101869272953316,0.0014101869272953316,underconfident,0.24975880393529393
BAL,away,100,0.44882223784923553,0.45,0.001177762150764483,0.001177762150764483,underconfident,0.247480209027721
