feature,bucket,games,bets,wins,win_rate,avg_value,avg_edge,staked,pnl,roi
away_il_count,high,109.0,109.0,41.0,0.3761467889908257,39.93577981651376,0.0956211009174312,377.63000000000005,-62.620000000000005,-0.1658236898551492
il_diff,low,190.0,190.0,97.0,0.5105263157894737,-14.9,0.06999368421052632,432.0,124.98000000000002,0.2893055555555556
il_diff,mid,30.0,30.0,11.0,0.36666666666666664,-10.1,0.09430000000000001,104.08000000000001,-3.1999999999999966,-0.030745580322828557
il_diff,high,109.0,109.0,42.0,0.3853211009174312,3.1376146788990824,0.09418440366972478,371.78000000000003,-47.28,-0.12717198343106137
home_il_war,low,187.0,187.0,92.0,0.4919786096256685,0.9063636363636364,0.07073689839572193,435.9100000000001,117.14999999999998,0.2687481360831363
home_il_war,mid,33.0,33.0,15.0,0.45454545454545453,2.7084848484848485,0.08606060606060606,97.78,7.209999999999999,0.07373696052362445
home_il_war,high,109.0,109.0,43.0,0.3944954128440367,8.791743119266055,0.09473486238532108,374.17,-49.85999999999999,-0.1332549375952107
away_il_war,low,187.0,187.0,92.0,0.4919786096256685,0.9063636363636364,0.07073689839572193,435.9100000000001,117.14999999999998,0.2687481360831363
away_il_war,mid,33.0,33.0,15.0,0.45454545454545453,2.7084848484848485,0.08606060606060606,97.78,7.209999999999999,0.07373696052362445
away_il_war,high,109.0,109.0,43.0,0.3944954128440367,8.791743119266055,0.09473486238532108,374.17,-49.85999999999999,-0.1332549375952107
il_war_diff,low,209.0,209.0,108.0,0.5167464114832536,-6.156937799043061,0.07156985645933016,496.60999999999996,158.49,0.3191437949296229
il_war_diff,mid,10.0,10.0,3.0,0.3,-4.553,0.09221,33.1,-7.6099999999999985,-0.22990936555891234
il_war_diff,high,110.0,110.0,39.0,0.35454545454545455,2.7861818181818183,0.09557909090909089,378.15000000000003,-76.37999999999998,-0.2019833399444664
park_altitude_ft,low,193.0,193.0,91.0,0.47150259067357514,19.39896373056995,0.07055440414507773,443.64,67.37000000000002,0.15185736182490311
park_altitude_ft,mid,30.0,30.0,14.0,0.4666666666666667,29.033333333333335,0.09050333333333334,95.25000000000001,22.560000000000006,0.23685039370078742
park_altitude_ft,high,106.0,106.0,45.0,0.42452830188679247,1119.6792452830189,0.09492264150943396,368.96999999999997,-15.43000000000001,-0.041819118085481236
home_sp_fbv,low,119.0,119.0,58.0,0.48739495798319327,91.9050420168067,0.07386806722689078,292.5799999999999,53.64000000000001,0.18333447262287245
home_sp_fbv,mid,102.0,102.0,46.0,0.45098039215686275,93.24999999999996,0.0726186274509804,247.68000000000004,17.440000000000005,0.07041343669250646
home_sp_fbv,high,108.0,108.0,46.0,0.42592592592592593,94.675,0.09441203703703704,367.6,3.4199999999999964,0.009303590859630022
away_sp_fbv,low,119.0,119.0,58.0,0.48739495798319327,91.9050420168067,0.07386806722689078,292.5799999999999,53.64000000000001,0.18333447262287245
away_sp_fbv,mid,102.0,102.0,46.0,0.45098039215686275,93.24999999999996,0.0726186274509804,247.68000000000004,17.440000000000005,0.07041343669250646
away_sp_fbv,high,108.0,108.0,46.0,0.42592592592592593,94.675,0.09441203703703704,367.6,3.4199999999999964,0.009303590859630022
sp_fbv_diff,low,142.0,142.0,68.0,0.4788732394366197,-2.711971830985919,0.08047887323943663,395.28000000000003,55.29,0.13987553126897387
sp_fbv_diff,mid,134.0,134.0,59.0,0.44029850746268656,-0.4410447761194001,0.07805223880597015,357.68,15.16,0.04238425408186088
sp_fbv_diff,high,53.0,53.0,23.0,0.4339622641509434,1.768867924528301,0.08503584905660377,154.9,4.05,0.02614590058102001
home_sp_swstr,low,132.0,132.0,63.0,0.4772727272727273,0.20591110932850343,0.07561666666666667,336.59000000000003,54.230000000000004,0.16111589767966963
home_sp_swstr,mid,87.0,87.0,35.0,0.40229885057471265,0.24005644617435154,0.09605287356321837,302.83000000000004,-23.099999999999998,-0.07628042135851797
home_sp_swstr,high,110.0,110.0,52.0,0.4727272727272727,0.29125160136160333,0.07323545454545456,268.43999999999994,43.37000000000001,0.1615631053494264
away_sp_swstr,low,132.0,132.0,63.0,0.4772727272727273,0.20591110932850343,0.07561666666666667,336.59000000000003,54.230000000000004,0.16111589767966963
away_sp_swstr,mid,87.0,87.0,35.0,0.40229885057471265,0.24005644617435154,0.09605287356321837,302.83000000000004,-23.099999999999998,-0.07628042135851797
away_sp_swstr,high,110.0,110.0,52.0,0.4727272727272727,0.29125160136160333,0.07323545454545456,268.43999999999994,43.37000000000001,0.1615631053494264
sp_swstr_diff,low,116.0,116.0,54.0,0.46551724137931033,-0.07975115668628024,0.07581810344827586,297.35999999999996,28.31000000000001,0.09520446596717788
sp_swstr_diff,mid,103.0,103.0,41.0,0.39805825242718446,-0.026868810582257673,0.09513495145631069,354.97999999999996,-16.060000000000006,-0.04524198546396982
sp_swstr_diff,high,110.0,110.0,55.0,0.5,0.046702370910956956,0.07091000000000001,255.52,62.249999999999986,0.24362085159674382
home_sp_k_pct,low,166.0,166.0,75.0,0.45180722891566266,0.19734825803384476,0.07699578313253012,430.99,45.050000000000004,0.10452678716443538
home_sp_k_pct,mid,55.0,55.0,22.0,0.4,0.221850737302059,0.10023272727272728,205.14999999999995,-33.449999999999996,-0.16305142578601026
home_sp_k_pct,high,108.0,108.0,53.0,0.49074074074074076,0.2534499122148841,0.07499814814814816,271.71999999999997,62.900000000000006,0.2314882967760931
away_sp_k_pct,low,166.0,166.0,75.0,0.45180722891566266,0.19734825803384476,0.07699578313253012,430.99,45.050000000000004,0.10452678716443538
away_sp_k_pct,mid,55.0,55.0,22.0,0.4,0.221850737302059,0.10023272727272728,205.14999999999995,-33.449999999999996,-0.16305142578601026
away_sp_k_pct,high,108.0,108.0,53.0,0.49074074074074076,0.2534499122148841,0.07499814814814816,271.71999999999997,62.900000000000006,0.2314882967760931
sp_k_pct_diff,low,110.0,110.0,48.0,0.43636363636363634,-0.06852279939468219,0.0961636363636364,385.12,-2.4700000000000086,-0.006413585375986728
