date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,edge_threshold,policy_reason,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob,season_phase
2025-08-29,ATL @ PHI,2.0,1.0,,0.0,-198.8,0.6532,0.6375,0.0157,<-180,,<-180 excluded by static_underdog_130_170,,0.0,137.17,PHI,ATL,home,True,Ranger Suarez,Bryce Elder,L,R,,,mid
2025-08-30,ARI @ LAD,1.0,6.0,,0.0,-231.8,0.6802,0.6653,0.0149,<-180,,<-180 excluded by static_underdog_130_170,,0.0,137.17,LAD,ARI,home,True,Tyler Glasnow,Eduardo Rodriguez,R,R,,,mid
2025-08-30,MIA @ NYM,8.0,11.0,,0.0,-178.0,0.6595,0.6123,0.0472,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,137.17,NYM,MIA,home,True,David Peterson,Edward Cabrera,L,R,,,mid
2025-08-30,TBR @ WSN,1.0,4.0,WSN,5.64,168.3,0.476,0.3478,0.1282,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,False,-5.64,131.53,WSN,TBR,home,False,Jake Irvin,Ryan Pepiot,R,R,,,mid
2025-08-30,NYY @ CHW,3.0,5.0,,0.0,-204.2,0.6444,0.6401,0.0042,<-180,,<-180 excluded by static_underdog_130_170,,0.0,131.53,CHW,NYY,away,True,Cam Schlittler,Shane Smith,R,R,,,mid
2025-08-30,STL @ CIN,2.0,4.0,,0.0,-96.7,0.509,0.4531,0.056,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,131.53,CIN,STL,home,True,Andrew Abbott,Michael McGreevy,L,R,,,mid
2025-08-30,LAA @ HOU,1.0,4.0,,0.0,-166.5,0.7351,0.5967,0.1384,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,131.53,HOU,LAA,home,True,Spencer Arrighetti,Kyle Hendricks,R,R,,,mid
2025-08-30,MIL @ TOR,1.0,4.0,MIL,5.41,135.7,0.519,0.4022,0.1168,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,True,7.34,138.87,TOR,MIL,away,False,Quinn Priester,Kevin Gausman,R,R,,,mid
2025-08-30,SDP @ MIN,3.0,12.0,,0.0,134.8,0.46,0.407,0.053,+130:+170,0.06,edge <= 6% threshold,,0.0,138.87,MIN,SDP,home,False,Taj Bradley,Nick Pivetta,R,R,,,mid
2025-08-30,ATL @ PHI,3.0,2.0,,0.0,-145.0,0.5936,0.5673,0.0263,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,138.87,PHI,ATL,home,True,Cristopher Sanchez,Chris Sale,L,L,,,mid
2025-08-30,BAL @ SFG,1.0,11.0,,0.0,,,,,,,missing odds,,0.0,138.87,SFG,BAL,,,,,,,,,
2025-08-30,DET @ KCR,3.0,1.0,,0.0,,,,,,,missing odds,,0.0,138.87,KCR,DET,,,,,,,,,
2025-08-30,PIT @ BOS,3.0,10.0,,0.0,-182.5,0.6289,0.6184,0.0106,<-180,,<-180 excluded by static_underdog_130_170,,0.0,138.87,BOS,PIT,home,True,Dustin May,Johan Oviedo,R,R,,,mid
2025-08-30,SEA @ CLE,4.0,3.0,,0.0,124.5,0.5066,0.4256,0.081,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,138.87,CLE,SEA,home,False,Gavin Williams,Logan Gilbert,R,R,,,mid
2025-08-30,CHC @ COL,3.0,4.0,COL,4.08,167.7,0.4472,0.3579,0.0893,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,False,-4.08,134.79,COL,CHC,home,False,McCade Brown,Javier Assad,R,R,,,mid
2025-08-31,DET @ KCR,0.0,5.0,KCR,5.53,144.0,0.5066,0.392,0.1146,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,False,-5.53,129.26,KCR,DET,home,False,Michael Wacha,Tarik Skubal,R,L,,,mid
2025-08-31,STL @ CIN,7.0,4.0,,0.0,,,,,,,missing odds,,0.0,129.26,CIN,STL,,,,,,,,,
2025-08-31,LAA @ HOU,0.0,3.0,,0.0,-174.3,0.747,0.6087,0.1383,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,129.26,HOU,LAA,home,True,Hunter Brown,Jose Soriano,R,R,,,mid
2025-08-31,MIA @ NYM,1.0,5.0,,0.0,-179.2,0.6577,0.617,0.0407,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,129.26,NYM,MIA,home,True,Kodai Senga,Sandy Alcantara,R,R,,,mid
2025-08-31,ATL @ PHI,1.0,3.0,,0.0,-165.3,0.6397,0.597,0.0426,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,129.26,PHI,ATL,home,True,Jesus Luzardo,Hurston Waldrep,L,R,,,mid
2025-08-31,TBR @ WSN,4.0,7.0,,0.0,120.5,0.4681,0.4329,0.0351,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,129.26,WSN,TBR,home,False,Brad Lord,Ian Seymour,R,L,,,mid
2025-08-31,NYY @ CHW,3.0,2.0,,0.0,-183.3,0.7252,0.6177,0.1076,<-180,,<-180 excluded by static_underdog_130_170,,0.0,129.26,CHW,NYY,away,True,Luis Gil,Martin Perez,R,L,,,mid
2025-08-31,CHC @ COL,6.0,5.0,,0.0,202.5,0.4347,0.3143,0.1204,+170+,,+170+ excluded by static_underdog_130_170,,0.0,129.26,COL,CHC,home,False,Tanner Gordon,Matt Boyd,R,L,,,mid
2025-08-31,BAL @ SFG,13.0,2.0,,0.0,125.8,0.4836,0.4235,0.0601,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,129.26,SFG,BAL,away,False,Tomoyuki Sugano,Justin Verlander,R,R,,,mid
2025-08-31,PIT @ BOS,5.0,2.0,,0.0,-175.8,0.6246,0.6109,0.0137,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,129.26,BOS,PIT,home,True,Lucas Giolito,Mitch Keller,R,R,,,mid
