date,team,il_war_score
2019-08-01,BAL,0.93
2019-09-01,BAL,1.01
2019-10-01,BAL,0.48
2020-04-01,BAL,0.0
2020-05-01,BAL,0.0
2020-06-01,BAL,0.0
2020-07-01,BAL,3.68
2020-08-01,BAL,3.59
2020-09-01,BAL,3.19
2020-10-01,BAL,3.65
2021-04-01,BAL,-0.39
2021-05-01,BAL,0.66
2021-06-01,BAL,-1.34
2021-07-01,BAL,-0.02
2021-08-01,BAL,0.31
2021-09-01,BAL,2.47
2021-10-01,BAL,2.55
2022-04-01,BAL,0.0
2022-05-01,BAL,2.49
2022-06-01,BAL,2.82
2022-07-01,BAL,6.58
2022-08-01,BAL,5.49
2022-09-01,BAL,5.44
2022-10-01,BAL,7.73
2023-04-01,BAL,2.16
2023-05-01,BAL,2.29
2023-06-01,BAL,6.32
2023-07-01,BAL,5.3
2023-08-01,BAL,15.11
2023-09-01,BAL,11.66
2023-10-01,BAL,10.22
2024-04-01,BAL,8.09
2024-05-01,BAL,12.81
2024-06-01,BAL,6.68
2024-07-01,BAL,12.41
2024-08-01,BAL,13.08
2024-09-01,BAL,18.69
2024-10-01,BAL,10.67
2025-04-01,BAL,18.49
2025-05-01,BAL,20.0
2025-06-01,BAL,19.85
2025-07-01,BAL,18.76
2025-08-01,BAL,15.62
2025-09-01,BAL,17.59
2025-10-01,BAL,7.77
2026-04-01,BAL,3.65
2026-05-01,BAL,10.1
2015-04-01,BOS,3.02
2015-05-01,BOS,4.44
2015-06-01,BOS,7.87
2015-07-01,BOS,13.14
2015-08-01,BOS,9.97
2015-09-01,BOS,11.89
2015-10-01,BOS,8.01
2016-04-01,BOS,2.79
2016-05-01,BOS,4.04
2016-06-01,BOS,0.66
2016-07-01,BOS,5.11
2016-08-01,BOS,5.14
2016-09-01,BOS,2.5
2016-10-01,BOS,0.66
2017-04-01,BOS,9.11
2017-05-01,BOS,8.17
2017-06-01,BOS,10.76
2017-07-01,BOS,5.4
2017-08-01,BOS,12.19
2017-09-01,BOS,13.06
2017-10-01,BOS,4.6
2018-04-01,BOS,10.57
2018-05-01,BOS,5.8
2018-06-01,BOS,12.71
2018-07-01,BOS,9.19
2018-08-01,BOS,11.98
2018-09-01,BOS,10.37
2018-10-01,BOS,3.74
2019-04-01,BOS,1.64
2019-05-01,BOS,2.69
2019-06-01,BOS,6.84
2019-07-01,BOS,5.78
2019-08-01,BOS,3.98
2019-09-01,BOS,9.53
2019-10-01,BOS,9.25
2020-04-01,BOS,-0.56
2020-05-01,BOS,-0.56
2020-06-01,BOS,-0.56
2020-07-01,BOS,1.56
2020-08-01,BOS,8.41
2020-09-01,BOS,8.79
2020-10-01,BOS,8.89
2021-04-01,BOS,8.12
2021-05-01,BOS,2.66
2021-06-01,BOS,2.63
2021-07-01,BOS,3.47
2021-08-01,BOS,3.91
2021-09-01,BOS,3.93
2021-10-01,BOS,0.07
2022-04-01,BOS,-0.02
2022-05-01,BOS,2.16
2022-06-01,BOS,3.05
2022-07-01,BOS,15.33
2022-08-01,BOS,15.23
2022-09-01,BOS,8.87
2022-10-01,BOS,11.03
2023-04-01,BOS,4.41
2023-05-01,BOS,4.29
2023-06-01,BOS,6.43
2023-07-01,BOS,8.21
2023-08-01,BOS,6.32
2023-09-01,BOS,-0.66
2023-10-01,BOS,3.54
2024-04-01,BOS,1.49
2024-05-01,BOS,11.55
2024-06-01,BOS,6.83
2024-07-01,BOS,4.28
2024-08-01,BOS,7.59
2024-09-01,BOS,5.65
2024-10-01,BOS,3.63
2025-04-01,BOS,5.7
2025-05-01,BOS,4.2
2025-06-01,BOS,9.31
2025-07-01,BOS,9.96
2025-08-01,BOS,7.56
2025-09-01,BOS,10.15
2025-10-01,BOS,5.85
2026-04-01,BOS,2.31
2026-05-01,BOS,9.88
2015-04-01,CHC,0.26
2015-05-01,CHC,1.27
2015-06-01,CHC,-0.71
2015-07-01,CHC,-0.35
2015-08-01,CHC,1.84
2015-09-01,CHC,0.66
2015-10-01,CHC,-1.59
2016-04-01,CHC,-1.03
2016-05-01,CHC,1.4
2016-06-01,CHC,-0.33
2016-07-01,CHC,3.07
2016-08-01,CHC,-0.51
2016-09-01,CHC,8.45
2016-10-01,CHC,-0.34
2017-04-01,CHC,0.16
2017-05-01,CHC,0.0
2017-06-01,CHC,-0.76
2017-07-01,CHC,5.45
2017-08-01,CHC,0.0
2017-09-01,CHC,10.96
2017-10-01,CHC,0.0
2018-04-01,CHC,0.08
2018-05-01,CHC,0.83
2018-06-01,CHC,6.34
2018-07-01,CHC,13.06
2018-08-01,CHC,10.61
2018-09-01,CHC,10.34
2018-10-01,CHC,5.18
2019-04-01,CHC,1.81
2019-05-01,CHC,2.44
2019-06-01,CHC,3.4
2019-07-01,CHC,8.25
2019-08-01,CHC,7.3
2019-09-01,CHC,6.3
2019-10-01,CHC,1.32
2020-04-01,CHC,0.0
2020-05-01,CHC,0.0
2020-06-01,CHC,0.0
2020-07-01,CHC,0.0
2020-08-01,CHC,-0.9
2020-09-01,CHC,0.47
